Banco;Año;ROE;Ingresos;Beneficio Neto
Santander;2022;0,1067;142860;10764
Santander;2023;0,1191;164889;12183
Santander;2024;0,13;176224;13744
BBVA;2022;0,1362;62864;6763
BBVA;2023;0,1591;81407;8416
BBVA;2024;0,1835;101052;10575
CaixaBank;2022;0,0907;10506;3135
CaixaBank;2023;0,1376;14936;4818
CaixaBank;2024;0,1583;16296;8319
Sabadell;2022;0,069;10506;900
Sabadell;2023;0,0989;14936;1334
Sabadell;2024;0,1265;16296;1829
Unicaja;2022;0,0434;3007;278
Unicaja;2023;0,0407;4319;267
Unicaja;2024;0,0857;4822;573
Bankinter;2022;0,1148;4031;560
Bankinter;2023;0,1652;6602;845
Bankinter;2024;0,1702;7482;953
