Banco;Año;Tipo de emisión;Emisión
Santander;2023;GEI1;25755
Santander;2023;GEI2 - mercado;21516
Santander;2023;GEI2 - ubicacion;205292
Santander;2023;GEI3;125441
Santander;2023;Total - GEI - mercado;172712
Santander;2023;Total GEI - ubicacion;356488
Santander;2024;GEI1;35503
Santander;2024;GEI2 - mercado;24350
Santander;2024;GEI2 - ubicacion;194276
Santander;2024;GEI3;1116061
Santander;2024;Total - GEI - mercado;1175914
Santander;2024;Total GEI - ubicacion;1345840
BBVA;2023;GEI1;39858
BBVA;2023;GEI2 - mercado;6995
BBVA;2023;GEI2 - ubicacion;193690
BBVA;2023;GEI3;1452294
BBVA;2023;Total - GEI - mercado;1499147
BBVA;2023;Total GEI - ubicacion;1685842
BBVA;2024;GEI1;41856
BBVA;2024;GEI2 - mercado;4481
BBVA;2024;GEI2 - ubicacion;198679
BBVA;2024;GEI3;1346681
BBVA;2024;Total - GEI - mercado;1393018
BBVA;2024;Total GEI - ubicacion;1587216
CaixaBank;2023;GEI1;8423,3
CaixaBank;2023;GEI2 - mercado;0
CaixaBank;2023;GEI2 - ubicacion;29384
CaixaBank;2023;GEI3;336817,4
CaixaBank;2023;Total - GEI - mercado;345240,7
CaixaBank;2023;Total GEI - ubicacion;374624,7
CaixaBank;2024;GEI1;7282,2
CaixaBank;2024;GEI2 - mercado;0
CaixaBank;2024;GEI2 - ubicacion;23046,8
CaixaBank;2024;GEI3;326518,8
CaixaBank;2024;Total - GEI - mercado;333801
CaixaBank;2024;Total GEI - ubicacion;356847,8
Sabadell;2023;GEI1;3243
Sabadell;2023;GEI2 - mercado;0
Sabadell;2023;GEI2 - ubicacion;16825
Sabadell;2023;GEI3;11537
Sabadell;2023;Total - GEI - mercado;14780
Sabadell;2023;Total GEI - ubicacion;31605
Sabadell;2024;GEI1;2460
Sabadell;2024;GEI2 - mercado;25
Sabadell;2024;GEI2 - ubicacion;14112
Sabadell;2024;GEI3;10597
Sabadell;2024;Total - GEI - mercado;13082
Sabadell;2024;Total GEI - ubicacion;27169
Unicaja;2023;GEI1;2261
Unicaja;2023;GEI2 - mercado;0
Unicaja;2023;GEI2 - ubicacion;481
Unicaja;2023;GEI3;9488
Unicaja;2023;Total - GEI - mercado;11749
Unicaja;2023;Total GEI - ubicacion;12230
Unicaja;2024;GEI1;1595
Unicaja;2024;GEI2 - mercado;0
Unicaja;2024;GEI2 - ubicacion;1831
Unicaja;2024;GEI3;9086
Unicaja;2024;Total - GEI - mercado;10681
Unicaja;2024;Total GEI - ubicacion;12512
Bankinter;2023;GEI1;1672,1
Bankinter;2023;GEI2 - mercado;51,1
Bankinter;2023;GEI2 - ubicacion;3283
Bankinter;2023;GEI3;4647065,5
Bankinter;2023;Total - GEI - mercado;4648788,7
Bankinter;2023;Total GEI - ubicacion;4652020,6
Bankinter;2024;GEI1;1232,1
Bankinter;2024;GEI2 - mercado;63,1
Bankinter;2024;GEI2 - ubicacion;3093,1
Bankinter;2024;GEI3;5133066,2
Bankinter;2024;Total - GEI - mercado;5134361,4
Bankinter;2024;Total GEI - ubicacion;5137391,4
