Banco;Riesgo;Tipo de riesgo;Horizonte;Valor
Santander;Riesgos de transición;Riesgo de crédito;CP;2,25
Santander;Riesgos de transición;Riesgo de crédito;MP;2,5
Santander;Riesgos de transición;Riesgo de crédito;LP;2,5
Santander;Riesgos de transición;Riesgo reputacional;CP;3
Santander;Riesgos de transición;Riesgo reputacional;MP;4
Santander;Riesgos de transición;Riesgo reputacional;LP;3
Santander;Riesgos de transición;Riesgo operacional;CP;1
Santander;Riesgos de transición;Riesgo operacional;MP;2
Santander;Riesgos de transición;Riesgo operacional;LP;1
Santander;Riesgos de transición;Riesgo de liquidez;CP;2
Santander;Riesgos de transición;Riesgo de liquidez;MP;1
Santander;Riesgos de transición;Riesgo de liquidez;LP;1
Santander;Riesgos de transición;Riesgo de mercado;CP;1
Santander;Riesgos de transición;Riesgo de mercado;MP;2
Santander;Riesgos de transición;Riesgo de mercado;LP;2
BBVA;Riesgos de transición;Riesgo de crédito;CP;1
BBVA;Riesgos de transición;Riesgo de crédito;MP;3
BBVA;Riesgos de transición;Riesgo de crédito;LP;4
BBVA;Riesgos de transición;Riesgo reputacional;CP;3
BBVA;Riesgos de transición;Riesgo reputacional;MP;3
BBVA;Riesgos de transición;Riesgo reputacional;LP;3
BBVA;Riesgos de transición;Riesgo operacional;CP;2
BBVA;Riesgos de transición;Riesgo operacional;MP;3
BBVA;Riesgos de transición;Riesgo operacional;LP;3
BBVA;Riesgos de transición;Riesgo de liquidez;CP;1
BBVA;Riesgos de transición;Riesgo de liquidez;MP;2
BBVA;Riesgos de transición;Riesgo de liquidez;LP;2
BBVA;Riesgos de transición;Riesgo de mercado;CP;1
BBVA;Riesgos de transición;Riesgo de mercado;MP;1
BBVA;Riesgos de transición;Riesgo de mercado;LP;1
CaixaBank;Riesgos de transición;Riesgo de crédito;CP;1,25
CaixaBank;Riesgos de transición;Riesgo de crédito;MP;1,5
CaixaBank;Riesgos de transición;Riesgo de crédito;LP;2,5
CaixaBank;Riesgos de transición;Riesgo reputacional;CP;1
CaixaBank;Riesgos de transición;Riesgo reputacional;MP;2
CaixaBank;Riesgos de transición;Riesgo reputacional;LP;2
CaixaBank;Riesgos de transición;Riesgo operacional;CP;1
CaixaBank;Riesgos de transición;Riesgo operacional;MP;2
CaixaBank;Riesgos de transición;Riesgo operacional;LP;2
CaixaBank;Riesgos de transición;Riesgo de liquidez;CP;1
CaixaBank;Riesgos de transición;Riesgo de liquidez;MP;1
CaixaBank;Riesgos de transición;Riesgo de liquidez;LP;1
CaixaBank;Riesgos de transición;Riesgo de mercado;CP;1
CaixaBank;Riesgos de transición;Riesgo de mercado;MP;1
CaixaBank;Riesgos de transición;Riesgo de mercado;LP;1
Sabadell;Riesgos de transición;Riesgo de crédito;CP;2
Sabadell;Riesgos de transición;Riesgo de crédito;MP;2
Sabadell;Riesgos de transición;Riesgo de crédito;LP;3
Sabadell;Riesgos de transición;Riesgo reputacional;CP;1
